x,y,CTne,IT,LE,CT,CTmvp,CTpan,CTpnz,BG
75.0,5475.0,0.0003538740274962038,6.994208524702117e-05,0.0027656431775540113,0.00021105658379383385,2.079930254694773e-06,0.001598702510818839,0.004766457248479128,0.9902322292327881
75.0,5625.0,0.0006129753310233355,0.00016350614896509796,0.002616678597405553,0.00043961405754089355,7.528465630457504e-06,0.0028179376386106014,0.015653524547815323,0.9776882529258728
75.0,5775.0,0.0009768661111593246,0.00017069322348106652,0.009180593304336071,0.0005727540701627731,9.837687684921548e-06,0.0011289340909570456,0.009799391031265259,0.9781609773635864
75.0,5925.0,0.003610888496041298,0.00018203681975137442,0.0029089346062391996,0.00028818330611102283,4.365410131867975e-05,0.0006275722989812493,0.006164181046187878,0.9861745834350586
75.0,6075.0,0.0006692968308925629,8.363999950233847e-05,0.002126042265444994,0.00029329073731787503,7.886847924964968e-06,0.0015702757518738508,0.007159322965890169,0.9880902767181396
75.0,6225.0,0.00050287478370592,0.000224475355935283,0.007178427651524544,0.0008452219190075994,6.7608270910568535e-06,0.0046896133571863174,0.02326563373208046,0.9632870554924011
75.0,6375.0,0.0004142681136727333,0.00010035184095613658,0.0024000671692192554,0.0007197554223239422,8.733810318517499e-06,0.004547964781522751,0.01000986434519291,0.9817989468574524
75.0,6525.0,0.0007840648177079856,0.00016133466851897538,0.003859926713630557,0.0007099301437847316,8.47741375764599e-06,0.004321502521634102,0.011699958704411983,0.9784547686576843
75.0,6675.0,0.0010235791560262442,0.0002239550813101232,0.00542838592082262,0.000614467600826174,2.570947071944829e-05,0.0027852558996528387,0.0066106305457651615,0.9832879900932312
75.0,6825.0,0.0007060687057673931,0.0003345767909195274,0.010008404031395912,0.0005587014020420611,1.6854555724421516e-05,0.0018368427408859134,0.022034654393792152,0.964503824710846
75.0,6975.0,0.0011496690567582846,0.0001763541076797992,0.0028777518309652805,0.0002665027277544141,1.4080188520892989e-05,0.0036478624679148197,0.007137354463338852,0.9847304821014404
75.0,7125.0,0.0015601119957864285,0.00018905929755419493,0.002501396695151925,0.00024485791800543666,2.775105349428486e-05,0.001164502464234829,0.003193051554262638,0.9911193251609802
75.0,7275.0,0.005813171621412039,0.0002803443931043148,0.0023346932139247656,0.0002759912167675793,5.497743404703215e-05,0.0023272885009646416,0.0038317220751196146,0.9850817918777466
75.0,7425.0,0.0009357796516269445,4.016108869109303e-05,0.0009407125180587173,0.00010144417319679633,4.591671313391998e-06,0.000829883327241987,0.0009367417078465223,0.9962106943130493
75.0,7575.0,0.0004196272639092058,0.00013147330901119858,0.00498522724956274,0.0007836758159101009,5.848953151144087e-06,0.004903762601315975,0.02242417074739933,0.9663460850715637
75.0,7725.0,0.0004927160916849971,0.00018229360284749418,0.005862543359398842,0.0005552516668103635,3.0711316867382266e-06,0.003780636703595519,0.014387890696525574,0.9747354984283447
75.0,7875.0,0.0004868590913247317,0.00012286679702810943,0.0057197194546461105,0.00035536737414076924,6.049480361980386e-06,0.0024088772479444742,0.010865574702620506,0.9800347089767456
75.0,8025.0,0.0006064997869543731,0.0005095564993098378,0.007078907918184996,0.0007393195410259068,5.914758276048815e-06,0.0028578347992151976,0.04612854868173599,0.942073404788971
75.0,8175.0,0.0011493677739053965,0.0002810786245390773,0.004927364178001881,0.00037342932773754,9.482903806201648e-06,0.0015075906412675977,0.007104158867150545,0.9846476316452026
75.0,8325.0,0.0010622356785461307,8.760431956034154e-05,0.003135022707283497,0.0002474996726959944,4.7459675442951266e-06,0.0021615251898765564,0.008090509101748466,0.9852109551429749
75.0,8475.0,0.0016995194600895047,0.00015080238517839462,0.009705695323646069,0.000267709867330268,2.2877864466863684e-05,0.0015417508548125625,0.016534823924303055,0.9700767993927002
